"Organisation"	"Peering Contact"	"Switch"	"AS number"	"LAN"	"ISP (v4)"	"ISP (v6)"	"Multicast"	"MDX"	"Peers with route server"	"Location"	"Connection"	"Policy"	"Speed"
"Spotify Netherlands B.V."	"peering@spotify.com"	"PXC-IXN-124"	"8403"	"ISP"	"80.249.212.62"	""	"no"	"no"	"yes"	"InterXion"	"LR"	"open"	"10GE"
"SprintLink Netherlands B.V."	"de-peering@sprint.com"	"PXC-TEL-152"	"1239"	"ISP"	"80.249.209.214"	"2001:7f8:1::a500:1239:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"Sri Lanka Telecom Plc"	"peering@slt.com.lk"	"PXC-NIK-127"	"9329"	"ISP"	"80.249.211.89"	"2001:7f8:1::a500:9329:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Starhub Ltd."	"leesc@starhub.com"	"mynl-phys-3316"	"4657"	"ISP"	"80.249.212.55"	"2001:7f8:1::a500:4657:1"	"no"	"no"	"yes"	"NIKHEF"	""	"selective"	"3GE"
"State Institute of ITT"	"noc@runnet.ru"	"PXC-NIK-127"	"3267"	"ISP"	"80.249.209.75"	"2001:7f8:1::a500:3267:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Stella Telecom"	"peering@stella-telecom.fr"	"mym6-phys-2090"	"16211"	"ISP"	"80.249.211.36"	"2001:7f8:1::a501:6211:1"	"no"	"no"	"yes"	"Equinix AM5"	""	"open"	"1GE"
"Stel Srl"	"peering@stel.it"	"mym6-phys-3840"	"56550"	"ISP"	"80.249.211.113"	"2001:7f8:1::a505:6550:1"	"no"	"no"	"yes"	"EvoSwitch"	""	"open"	"2GE"
"Stichting Nationale Beheersorganisatie Internet Providers (NBIP)"	"peering@nbip.nl"	"PXC-EQ3-145"	"200020"	"ISP"	"80.249.211.82"	"2001:7f8:1:0:a500:20:20:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Stichting Nationale Beheersorganisatie Internet Providers (NBIP)"	"peering@nbip.nl"	"PXC-EQ3-145"	"200020"	"ISP"	"80.249.211.82"	"2001:7f8:1:0:a500:20:20:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Stichting Nationale Beheersorganisatie Internet Providers (NBIP)"	"peering@nbip.nl"	"PXC-EQ3-145"	"200020"	"ISP"	"80.249.211.82"	"2001:7f8:1:0:a500:20:20:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Stichting Nationale Beheersorganisatie Internet Providers (NBIP)"	"peering@nbip.nl"	"PXC-EQ3-145"	"200020"	"ISP"	"80.249.211.82"	"2001:7f8:1:0:a500:20:20:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Stichting Proxility"	"peering@proxility.net"	"EDGE-TEL-012"	"43293"	"ISP"	"80.249.208.182"	"2001:7f8:1::a504:3293:1"	"no"	"no"	"yes"	"Equinix AM7"	"SX"	""	"1GE"
"Stichting RTV Oost"	"noc@rtvoost.nl"	"mynl-phys-5319"	"205773"	"ISP"	"80.249.213.101"	"2001:7f8:1:0:a500:20:5773:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"1GE"
"STRATO AG"	"noc@strato-rz.de"	"PXC-NIK-116"	"6724"	"ISP"	"80.249.210.180"	"2001:7f8:1::a500:6724:1"	"no"	"no"	"yes"	"NIKHEF"	"LR4"	"open"	"100GE"
"süc // dacor GmbH"	"peering@dacor.de"	"mym6-phys-3679"	"28876"	"ISP"	"80.249.211.156"	"2001:7f8:1::a502:8876:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1FE"
"süc // dacor GmbH"	"peering@dacor.de"	"mym6-phys-4165"	"28876"	"ISP"	"80.249.208.187"	"2001:7f8:1::a502:8876:2"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"1GE"
"Sunrise Communications AG"	"peering@sunrise.net"	"PXC-NIK-127"	"6730"	"ISP"	"80.249.208.116"	"2001:7f8:1::a500:6730:1"	"no"	"no"	"no"	"NIKHEF"	"ER"	"closed"	"10GE"
"Sunrise Communications AG"	"peering@sunrise.net"	"PXC-NIK-127"	"6730"	"ISP"	"80.249.208.116"	"2001:7f8:1::a500:6730:1"	"no"	"no"	"no"	"NIKHEF"	"ER"	"closed"	"10GE"
"Sunrise Communications AG"	"peering@sunrise.net"	"PXC-NIK-127"	"6730"	"ISP"	"80.249.208.116"	"2001:7f8:1::a500:6730:1"	"no"	"no"	"no"	"NIKHEF"	"ER"	"closed"	"10GE"
"SUPERONLINE ILETISIM HIZMETLERI A.S"	"team-ipmpls@superonline.net"	"PXC-SAR-114"	"34984"	"ISP"	"80.249.211.229"	"2001:7f8:1::a503:4984:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"SURFnet"	"peering@surfnet.nl"	"PXC-TEL-152"	"1103"	"ISP"	"80.249.208.34"	"2001:7f8:1::a500:1103:2"	"no"	"no"	"yes"	"Equinix AM7"	"LR4"	"closed"	"100GE"
"SURFnet"	"peering@surfnet.nl"	"PXC-SAR-134"	"1103"	"ISP"	"80.249.208.50"	"2001:7f8:1::a500:1103:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR4"	"closed"	"100GE"
"SURFnet"	"peering@as1101.net"	"PXC-SAR-134"	"1101"	"ISP"	"80.249.210.65"	"2001:7f8:1::a500:1101:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Swisscom IP plus"	"ip-plus.peering@swisscom.com"	"PXC-SAR-148"	"3303"	"ISP"	"80.249.208.100"	"2001:7f8:1::a500:3303:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"selective"	"10GE"
"Swisscom IP plus"	"ip-plus.peering@swisscom.com"	"PXC-SAR-148"	"3303"	"ISP"	"80.249.208.100"	"2001:7f8:1::a500:3303:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"selective"	"10GE"
"SWITCH"	"peering@switch.ch"	"PXC-SAR-114"	"559"	"ISP"	"80.249.208.33"	"2001:7f8:1::a500:559:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	""	"10GE"
"Symphony Communications Pcl."	"peering@symphony.net.th"	"mynl-phys-3316"	"132876"	"ISP"	"80.249.212.143"	"2001:7f8:1:0:a500:13:2876:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"1GE"
"SysEleven GmbH"	"peering@syseleven.de"	"PXC-NIK-133"	"25291"	"ISP"	"80.249.210.228"	"2001:7f8:1::a502:5291:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Taboola.com"	"peering@taboola.com"	"PXC-EVO-162"	"200478"	"ISP"	"80.249.212.230"	""	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"open"	"10GE"
"Tango S.A."	"peering.carrier-services@proximus.lu"	"PXC-SAR-148"	"56665"	"ISP"	"80.249.210.155"	"2001:7f8:1::a505:6665:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"TANGO S.A."	"peering@proximus.lu"	"mym6-phys-1795"	"48526"	"ISP"	"80.249.211.94"	"2001:7f8:1::a504:8526:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"1GE"
"TARR Kft."	"peering@tarr.hu"	"mym6-phys-4209-2962"	"8462"	"ISP"	"80.249.212.141"	"2001:7f8:1::a500:8462:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"5GE"
"TATA Communications"	"peering-admin@as6453.net"	"PXC-SAR-111"	"6453"	"ISP"	"80.249.209.167"	"2001:7f8:1::a500:6453:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"T-CIX"	"support@t-cix.net"	"mynl-phys-3526"	"41059"	"ISP"	"80.249.212.63"	"2001:7f8:1::a504:1059:1"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"2GE"
"TDC A/S"	"peering@tdc.dk"	"PXC-TEL-152"	"3292"	"ISP"	"80.249.208.104"	"2001:7f8:1::a500:3292:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"TDC A/S"	"peering@tdc.dk"	"PXC-TEL-152"	"3292"	"ISP"	"80.249.208.104"	"2001:7f8:1::a500:3292:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"TDC A/S"	"peering@tdc.dk"	"PXC-TEL-152"	"3292"	"ISP"	"80.249.208.104"	"2001:7f8:1::a500:3292:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"TDC A/S"	"peering@tdc.dk"	"PXC-TEL-152"	"3292"	"ISP"	"80.249.208.104"	"2001:7f8:1::a500:3292:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"TECLIB"	"peering@teclib.net"	"mym6-phys-2090"	"61319"	"ISP"	"80.249.210.236"	"2001:7f8:1::a506:1319:1"	"no"	"no"	"yes"	"Equinix AM5"	""	"open"	"1FE"
"Tele2 Nederland B.V."	"AMS-NOE-C-Int-Engineers@Tele2.com"	"PXC-TEL-105"	"13127"	"ISP"	"80.249.208.211"	"2001:7f8:1::a501:3127:2"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"closed"	"10GE"
"Tele2 Nederland B.V."	"AMS-NOE-C-Int-Engineers@Tele2.com"	"PXC-SAR-101"	"13127"	"ISP"	"80.249.208.47"	"2001:7f8:1::a501:3127:1"	"no"	"no"	"no"	"Interxion Science Park"	"ER"	"closed"	"10GE"
"Tele2 Sverige AB"	"peering@tele2.net"	"PXC-NIK-126"	"1257"	"ISP"	"80.249.209.139"	"2001:7f8:1::a500:1257:1"	"no"	"no"	"no"	"NIKHEF"	"LR4"	"selective"	"100GE"
"Telecity Group International LDT"	""	"PXC-TEL-140"	"15830"	"ISP"	"80.249.208.113"	"2001:7f8:1::a501:5830:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	""	"10GE"
"Telecity Group International LDT"	""	"PXC-TEL-140"	"15830"	"ISP"	"80.249.208.113"	"2001:7f8:1::a501:5830:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	""	"10GE"
"Telecom Egypt"	"mohamed.dahshory@te.eg"	"PXC-SAR-148"	"8452"	"ISP"	"80.249.211.21"	""	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"case-by-case"	"10GE"
"Telecom Italia Netherlands B.V."	"giampiero.lista@telecomitalia.it"	"PXC-EVO-143"	"6762"	"ISP"	"80.249.211.42"	"2001:7f8:1::a500:6762:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	""	"10GE"
"Telecom Italia Netherlands B.V."	"giampiero.lista@telecomitalia.it"	"PXC-EVO-143"	"6762"	"ISP"	"80.249.211.42"	"2001:7f8:1::a500:6762:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	""	"10GE"
"Telecom Italia Netherlands B.V."	"giampiero.lista@telecomitalia.it"	"PXC-EVO-143"	"6762"	"ISP"	"80.249.211.42"	"2001:7f8:1::a500:6762:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	""	"10GE"
"Telecom Italia Netherlands B.V."	"giampiero.lista@telecomitalia.it"	"PXC-EVO-143"	"64518"	"ISP"	"80.249.208.196"	""	"no"	"no"	"no"	"EvoSwitch"	"LR"	""	"10GE"
"Telecom Liechtenstein AG"	"hostmaster@telecom.li"	"EDGE-NIK-011"	"20634"	"ISP"	"80.249.209.226"	"2001:7f8:1::a502:634:1"	"no"	"no"	"yes"	"NIKHEF"	"LX"	"open"	"1GE"
"TeleData GmbH"	"peering@teledata.de"	"PXC-TEL-125"	"21263"	"ISP"	"80.249.209.74"	"2001:7f8:1::a502:1263:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"Telefónica o2 Germany GmbH & Co. OHG"	"peering.de@telefonica.com"	"PXC-SAR-134"	"6805"	"ISP"	"80.249.208.199"	"2001:7f8:1::a500:6805:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Telefónica o2 Germany GmbH & Co. OHG"	"peering.de@telefonica.com"	"PXC-SAR-134"	"6805"	"ISP"	"80.249.208.199"	"2001:7f8:1::a500:6805:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Telefónica o2 Germany GmbH & Co. OHG"	"peering.de@telefonica.com"	"PXC-SAR-134"	"6805"	"ISP"	"80.249.208.199"	"2001:7f8:1::a500:6805:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Telefónica o2 Germany GmbH & Co. OHG"	"peering.de@telefonica.com"	"PXC-SAR-134"	"6805"	"ISP"	"80.249.208.199"	"2001:7f8:1::a500:6805:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Telefónica o2 Germany GmbH & Co. OHG"	"peering.de@telefonica.com"	"PXC-SAR-134"	"6805"	"ISP"	"80.249.208.199"	"2001:7f8:1::a500:6805:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Telefónica o2 Germany GmbH & Co. OHG"	"peering.de@telefonica.com"	"PXC-SAR-134"	"6805"	"ISP"	"80.249.208.199"	"2001:7f8:1::a500:6805:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Telefónica o2 Germany GmbH & Co. OHG"	"peering.de@telefonica.com"	"PXC-NIK-133"	"6805"	"ISP"	"80.249.208.91"	"2001:7f8:1::a500:6805:2"	"no"	"no"	"no"	"NIKHEF"	"LR"	"open"	"10GE"
"Telefónica o2 Germany GmbH & Co. OHG"	"peering.de@telefonica.com"	"PXC-NIK-133"	"6805"	"ISP"	"80.249.208.91"	"2001:7f8:1::a500:6805:2"	"no"	"no"	"no"	"NIKHEF"	"LR"	"open"	"10GE"
"Telefónica o2 Germany GmbH & Co. OHG"	"peering.de@telefonica.com"	"PXC-NIK-133"	"6805"	"ISP"	"80.249.208.91"	"2001:7f8:1::a500:6805:2"	"no"	"no"	"no"	"NIKHEF"	"LR"	"open"	"10GE"
"Telefónica o2 Germany GmbH & Co. OHG"	"peering.de@telefonica.com"	"PXC-NIK-133"	"6805"	"ISP"	"80.249.208.91"	"2001:7f8:1::a500:6805:2"	"no"	"no"	"no"	"NIKHEF"	"LR"	"open"	"10GE"
"Telefónica o2 Germany GmbH & Co. OHG"	"peering.de@telefonica.com"	"PXC-NIK-133"	"6805"	"ISP"	"80.249.208.91"	"2001:7f8:1::a500:6805:2"	"no"	"no"	"no"	"NIKHEF"	"LR"	"open"	"10GE"
"Telefónica o2 Germany GmbH & Co. OHG"	"peering.de@telefonica.com"	"PXC-NIK-133"	"6805"	"ISP"	"80.249.208.91"	"2001:7f8:1::a500:6805:2"	"no"	"no"	"no"	"NIKHEF"	"LR"	"open"	"10GE"
"Telegraaf Media ICT"	"peering@telegraaf.net"	"PXC-SAR-111"	"34106"	"ISP"	"80.249.208.156"	"2001:7f8:1::a503:4106:2"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"Telegraaf Media ICT"	"peering@telegraaf.net"	"PXC-TEL-106"	"34106"	"ISP"	"80.249.209.156"	"2001:7f8:1::a503:4106:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"Telegram Messenger"	""	"PXC-TC5-151"	"62041"	"ISP"	"80.249.209.69"	""	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	"selective"	"100GE"
"Telegram Messenger"	""	"PXC-TC5-151"	"62041"	"ISP"	"80.249.209.69"	""	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	"selective"	"100GE"
"TELEimpianti"	"peering@teleimpianti.eu"	"phys-20101021-125-001"	"50316"	"ISP"	"80.249.211.251"	"2001:7f8:1::a505:316:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"1GE"
"Telekom Austria"	"peering@aon.at"	"PXC-SAR-148"	"8447"	"ISP"	"80.249.209.207"	"2001:7f8:1::a500:8447:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR4"	"case-by-case"	"100GE"
"Telekom Malaysia Berhad"	""	"PXC-TEL-138"	"4788"	"ISP"	"80.249.209.91"	"2001:7f8:1::a500:4788:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"upon negotiation"	"10GE"
"Telekom Malaysia Berhad"	""	"PXC-TEL-138"	"4788"	"ISP"	"80.249.209.91"	"2001:7f8:1::a500:4788:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"upon negotiation"	"10GE"
"Telekom Srbija a.d."	"peering@telekom.rs"	"PXC-TEL-138"	"8400"	"ISP"	"80.249.210.95"	"2001:7f8:1::a500:8400:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"selective"	"10GE"
"Telekom Srbija a.d."	"peering@telekom.rs"	"PXC-TEL-138"	"8400"	"ISP"	"80.249.210.95"	"2001:7f8:1::a500:8400:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"selective"	"10GE"
"Telekom Srbija a.d."	"peering@telekom.rs"	"PXC-TEL-138"	"8400"	"ISP"	"80.249.210.95"	"2001:7f8:1::a500:8400:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"selective"	"10GE"
"Telenor d.o.o"	"bgp.peering@telenor.rs"	"PXC-NIK-112"	"15958"	"ISP"	"80.249.210.14"	"2001:7f8:1::a501:5958:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"Telenor Norge AS"	"gunnar.hole@telenor.com"	"PXC-SAR-114"	"2119"	"ISP"	"80.249.209.192"	"2001:7f8:1::a500:2119:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR4"	"case-by-case"	"100GE"
"Telenor Norge AS"	"gunnar.hole@telenor.com"	"PXC-SAR-114"	"2119"	"ISP"	"80.249.209.192"	"2001:7f8:1::a500:2119:1"	"no"	"no"	"no"	"Interxion Science Park"	"LR4"	"case-by-case"	"100GE"
"Telkom SA Limited"	"dpreezjp@telkom.co.za"	"PXC-EQX-139"	"5713"	"ISP"	"80.249.210.18"	"2001:7f8:1::a500:5713:1"	"no"	"no"	"yes"	"Equinix AM1/2"	"LR"	"case-by-case"	"10GE"
"Telstra Global"	"TI.Peering@team.telstra.com"	"PXC-TEL-125"	"4637"	"ISP"	"80.249.212.201"	""	"no"	"no"	"no"	"Equinix AM7"	"LR"	"open"	"10GE"
"Telstra Global"	"TI.Peering@team.telstra.com"	"PXC-TEL-125"	"4637"	"ISP"	"80.249.212.201"	""	"no"	"no"	"no"	"Equinix AM7"	"LR"	"open"	"10GE"
"Telstra Global"	"TI.Peering@team.telstra.com"	"PXC-TEL-125"	"4637"	"ISP"	"80.249.212.201"	""	"no"	"no"	"no"	"Equinix AM7"	"LR"	"open"	"10GE"
"Telstra Global"	"TI.Peering@team.telstra.com"	"PXC-TEL-140"	"4637"	"ISP"	"80.249.212.88"	"2001:7f8:1::a500:4637:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"open"	"10GE"
"Telstra Global"	"TI.Peering@team.telstra.com"	"PXC-TEL-140"	"4637"	"ISP"	"80.249.212.88"	"2001:7f8:1::a500:4637:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"open"	"10GE"
"Telstra Global"	"TI.Peering@team.telstra.com"	"PXC-TEL-140"	"4637"	"ISP"	"80.249.212.88"	"2001:7f8:1::a500:4637:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"open"	"10GE"
"Telstra Global"	"TI.Peering@team.telstra.com"	"PXC-TEL-140"	"4637"	"ISP"	"80.249.212.88"	"2001:7f8:1::a500:4637:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"open"	"10GE"
"Telstra Global"	"TI.Peering@team.telstra.com"	"PXC-TEL-140"	"4637"	"ISP"	"80.249.212.88"	"2001:7f8:1::a500:4637:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"open"	"10GE"
"Telstra Global"	"TI.Peering@team.telstra.com"	"PXC-TEL-140"	"4637"	"ISP"	"80.249.212.88"	"2001:7f8:1::a500:4637:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"open"	"10GE"
"Telstra Global"	"TI.Peering@team.telstra.com"	"PXC-TEL-140"	"4637"	"ISP"	"80.249.212.88"	"2001:7f8:1::a500:4637:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"open"	"10GE"
"Telxius Cable España S.L"	"noelia.silva@telxius.com"	"PXC-TEL-141"	"12956"	"ISP"	"80.249.208.208"	"2001:7f8:1::a501:2956:1"	"no"	"no"	"no"	"Equinix AM7"	"LR"	"case-by-case"	"10GE"
"TENET"	"peering@tenet.ac.za"	"PXC-NIK-112"	"36944"	"ISP"	"80.249.210.204"	"2001:7f8:1::a503:6944:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"open"	"10GE"
"TEO LT, AB"	"nmc@telia.lt"	"PXC-TEL-125"	"8764"	"ISP"	"80.249.209.168"	"2001:7f8:1::a500:8764:1"	"no"	"no"	"yes"	"Equinix AM7"	"LR"	"open"	"10GE"
"Teqnobase"	"bindert@schoolmaster.nl"	"PXC-NIK-116"	"39244"	"ISP"	"80.249.208.28"	""	"no"	"no"	"yes"	"NIKHEF"	"LR"	"case-by-case"	"10GE"
"Terremark North America, Inc."	"AS23148peering@verizon.com"	"PXC-EQ3-153"	"23148"	"ISP"	"80.249.209.48"	"2001:7f8:1::a502:3148:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Terremark North America, Inc."	"AS23148peering@verizon.com"	"PXC-EQ3-153"	"23148"	"ISP"	"80.249.209.48"	"2001:7f8:1::a502:3148:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"The unbelievable Machine Company GmbH"	"peering@unbelievable-machine.com"	"PXC-TC5-144"	"48173"	"ISP"	"80.249.209.39"	"2001:7f8:1::a504:8173:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR"	"Open peering Policy"	"10GE"
"Tilaa"	"dennis@tilaa.com"	"PXC-EVO-143"	"196752"	"ISP"	"80.249.211.247"	"2001:7f8:1:0:a500:19:6752:1"	"no"	"no"	"yes"	"EvoSwitch"	"LR"	"open"	"10GE"
"TIRASTEL GmbH"	"peering@tirastel.de"	"PXC-EQ3-160"	"1547"	"ISP"	"80.249.208.97"	"2001:7f8:1::a500:1547:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"TIRASTEL GmbH"	"peering@tirastel.de"	"PXC-EQ3-160"	"1547"	"ISP"	"80.249.208.97"	"2001:7f8:1::a500:1547:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"TIRASTEL GmbH"	"peering@tirastel.de"	"PXC-EQ3-160"	"1547"	"ISP"	"80.249.208.97"	"2001:7f8:1::a500:1547:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"TIRASTEL GmbH"	"peering@tirastel.de"	"PXC-EQ3-160"	"1547"	"ISP"	"80.249.208.97"	"2001:7f8:1::a500:1547:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"TIRASTEL GmbH"	"peering@tirastel.de"	"PXC-EQ3-160"	"1547"	"ISP"	"80.249.208.97"	"2001:7f8:1::a500:1547:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"TIRASTEL GmbH"	"peering@tirastel.de"	"PXC-EQ3-160"	"1547"	"ISP"	"80.249.208.97"	"2001:7f8:1::a500:1547:1"	"no"	"no"	"yes"	"Equinix AM3"	"LR"	"open"	"10GE"
"Titan Networks"	"peering@titan-networks.de"	"phys-20100604-125-001"	"20640"	"ISP"	"80.249.208.221"	"2001:7f8:1::a502:640:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"case-by-case"	"2FE"
"tkrz Stadtwerke GmbH"	"hostmaster@tkrz.de"	"EDGE-TEL-012"	"42184"	"ISP"	"80.249.209.210"	"2001:7f8:1::a504:2184:1"	"no"	"no"	"yes"	"Equinix AM7"	"LX"	"open"	"1GE"
"tkrz-Stadtwerke-GmbH"	"noc@tkrz.de"	"mynl-phys-5319"	"42184"	"ISP"	"80.249.213.113"	"2001:7f8:1::a504:2184:2"	"no"	"no"	"yes"	"NIKHEF"	""	"open"	"2GE"
"TK-Telecom, OOO"	"noc@tk-telecom.ru"	"mynl-phys-4110"	"60764"	"ISP"	"80.249.212.239"	"2001:7f8:1::a506:764:1"	"no"	"no"	"yes"	"Equinix AM1/2"	""	"open"	"1GE"
"T-Mobile Netherlands BV"	"_peering@t-mobile.nl"	"PXC-EQ3-160"	"31615"	"ISP"	"80.249.209.252"	""	"no"	"no"	"no"	"Equinix AM3"	"LR"	""	"10GE"
"T-Mobile Thuis B.V."	"FixedAccessServiceNetwerkOperations@t-mobile.nl"	"PXC-TC4-150"	"50266"	"ISP"	"80.249.211.171"	"2001:7f8:1::a505:266:1"	"no"	"no"	"yes"	"Digital Realty AMS04"	"LR4"	"case-by-case"	"100GE"
"T-Mobile Thuis B.V."	"FixedAccessServiceNetwerkOperations@t-mobile.nl"	"PXC-IXN-161"	"50266"	"ISP"	"80.249.211.184"	"2001:7f8:1::a505:266:2"	"no"	"no"	"yes"	"InterXion"	"LR4"	"case-by-case"	"100GE"
"TMR Telekommunikation Mittleres Ruhrgebiet GmbH"	"peering@tmr.net"	"mynl-phys-4591"	"12329"	"ISP"	"80.249.210.117"	"2001:7f8:1::a501:2329:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"open"	"10GE"
"TNG - THE NET GENERATION AG"	"peering@tng.de"	"PXC-SAR-148"	"13101"	"ISP"	"80.249.209.119"	"2001:7f8:1::a501:3101:1"	"no"	"no"	"yes"	"Interxion Science Park"	"LR"	"open"	"10GE"
"TOT Public Company Limited"	"noc@totiig.net"	"mynl-phys-6030"	"38040"	"ISP"	"80.249.213.118"	"2001:7f8:1::a503:8040:1"	"no"	"no"	"yes"	"Interxion Science Park"	""	"open"	"10GE"
"Transdata AS"	"noc@transdata.no"	"mynl-phys-5324"	"29479"	"ISP"	"80.249.213.116"	"2001:7f8:1::a502:9479:1"	"no"	"no"	"yes"	"Equinix AM7"	""	"selective"	"1FE"
"Transip B.V."	"peering@transip.nl"	"PXC-GLO-117"	"20857"	"ISP"	"80.249.208.244"	"2001:7f8:1::a502:857:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"Transip B.V."	"peering@transip.nl"	"PXC-GLO-117"	"20857"	"ISP"	"80.249.208.244"	"2001:7f8:1::a502:857:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"TransTeleCom"	"peering@ttk.ru"	"PXC-TC5-151"	"20485"	"ISP"	"80.249.210.177"	"2001:7f8:1::a502:485:1"	"no"	"no"	"yes"	"Equinix AM5"	"LR4"	"custom"	"100GE"
"TravelJigsaw Ltd"	"network@rentalcars.com"	"PXC-GLO-135"	"203164"	"ISP"	"80.249.212.226"	"2001:7f8:1:0:a500:20:3164:1"	"no"	"no"	"yes"	"Global Switch"	"LR"	"open"	"10GE"
"TRC FIORD LLC"	"peering@fiord.ru"	"PXC-NIK-126"	"28917"	"ISP"	"80.249.209.140"	"2001:7f8:1::a502:8917:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"case-by-case"	"10GE"
"TRC FIORD LLC"	"peering@fiord.ru"	"PXC-NIK-126"	"28917"	"ISP"	"80.249.209.140"	"2001:7f8:1::a502:8917:1"	"no"	"no"	"yes"	"NIKHEF"	"LR"	"case-by-case"	"10GE"
